"timestamp [UTC]",message,type,innermostMessage
"24/09/2025, 08:09:17.455","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=d828f43d-111c-434c-8a56-d2df1580c62e)",,
"24/09/2025, 08:09:17.415",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.414","Trigger Details: MessageIdArray: 113f35a4ae324d77b2e5b9b047b52fa3,d36f5d9309b44c59b631848a1b2ddd00, SequenceNumberArray: 12,15, DeliveryCountArray: 7,8, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.3750000+00:00,2025-09-24T08:10:17.3750000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.414","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=ebe94bac-55bf-4113-8993-8a159d9e435e)",,
"24/09/2025, 08:09:17.378",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.378","Trigger Details: MessageIdArray: 113f35a4ae324d77b2e5b9b047b52fa3,86dc2fbd083e445eb95d659115a789c3,00d2ff8ae39b4f57886ee41b43b429fc,d36f5d9309b44c59b631848a1b2ddd00, SequenceNumberArray: 12,14,13,15, DeliveryCountArray: 6,10,6,7, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.3440000+00:00,2025-09-24T08:10:17.3440000+00:00,2025-09-24T08:10:17.3440000+00:00,2025-09-24T08:10:17.3440000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.378","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=d6fbc68e-9808-4243-aa40-062371b4dac0)",,
"24/09/2025, 08:09:17.334",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.334","Trigger Details: MessageIdArray: 86dc2fbd083e445eb95d659115a789c3,113f35a4ae324d77b2e5b9b047b52fa3,00d2ff8ae39b4f57886ee41b43b429fc,d36f5d9309b44c59b631848a1b2ddd00,e7195720c6b14a3b8a337986ece11d97, SequenceNumberArray: 14,12,13,15,16, DeliveryCountArray: 9,5,5,6,5, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.2970000+00:00,2025-09-24T08:10:17.3130000+00:00,2025-09-24T08:10:17.3130000+00:00,2025-09-24T08:10:17.3130000+00:00,2025-09-24T08:10:17.3130000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.333","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=214bcbca-1703-40f4-bd6a-934480900ba6)",,
"24/09/2025, 08:09:17.296",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.296","Trigger Details: MessageIdArray: 86dc2fbd083e445eb95d659115a789c3, SequenceNumberArray: 14, DeliveryCountArray: 8, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.2660000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.296","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=411f6c68-f59b-45ab-9051-7cf667727cae)",,
